seat comfort,cabin staff,food_beverages,entertainment,ground_service,wifi
4.0,4.0,4.0,3.0,4.0,0.0
2.5454545454545454,3.1818181818181817,2.3636363636363638,2.4545454545454546,2.8181818181818183,1.0909090909090908
3.0,3.0,3.0,2.0,1.0,1.0
1.0,3.0,2.0,1.0,3.0,2.0
1.0,1.0,1.0,4.0,1.0,1.0
3.5,4.5,1.5,1.5,4.0,0.0
2.0,4.0,1.0,3.0,2.0,1.0
2.0,3.6666666666666665,2.6666666666666665,3.0,3.3333333333333335,3.3333333333333335
3.0,3.0,4.0,3.0,3.0,4.0
2.6666666666666665,3.111111111111111,2.7777777777777777,3.2222222222222223,2.7777777777777777,3.2222222222222223
3.857142857142857,3.0,2.2857142857142856,3.0,2.857142857142857,2.142857142857143
4.5,4.0,3.5,4.5,3.5,4.5
3.0,4.0,3.0,4.0,4.0,4.0
4.0,5.0,5.0,5.0,5.0,3.0
5.0,5.0,5.0,5.0,3.0,4.0
4.0,4.0,4.0,4.0,4.0,4.0
5.0,4.0,4.0,5.0,5.0,5.0
1.0,3.0,3.0,1.0,2.0,3.0
4.0,4.0,3.0,1.0,1.0,0.0
